,Date,Time,Aspect 0 of Phase C  State,Aspect 1 of Phase C  State,Aspect 2 of Phase C  State,Result,Phase
1094,03-Jun-17,10:12:07,0,1,0,2,C
1095,03-Jun-17,10:12:07,0,1,0,2,C
1096,03-Jun-17,10:12:07,0,1,0,2,C
1382,03-Jun-17,10:13:05,0,1,0,2,C
1383,03-Jun-17,10:13:05,0,1,0,2,C
1384,03-Jun-17,10:13:05,0,1,0,2,C
1385,03-Jun-17,10:13:05,0,1,0,2,C
1386,03-Jun-17,10:13:05,0,1,0,2,C
1387,03-Jun-17,10:13:05,0,1,0,2,C
1388,03-Jun-17,10:13:06,0,1,0,2,C
1389,03-Jun-17,10:13:06,0,1,0,2,C
1390,03-Jun-17,10:13:06,0,1,0,2,C
1391,03-Jun-17,10:13:06,0,1,0,2,C
1392,03-Jun-17,10:13:06,0,1,0,2,C
1393,03-Jun-17,10:13:07,0,1,0,2,C
1394,03-Jun-17,10:13:07,0,1,0,2,C
1395,03-Jun-17,10:13:07,0,1,0,2,C
1396,03-Jun-17,10:13:07,0,1,0,2,C
1682,03-Jun-17,10:14:04,0,1,0,2,C
1683,03-Jun-17,10:14:05,0,1,0,2,C
1684,03-Jun-17,10:14:05,0,1,0,2,C
1685,03-Jun-17,10:14:05,0,1,0,2,C
1686,03-Jun-17,10:14:05,0,1,0,2,C
1687,03-Jun-17,10:14:06,0,1,0,2,C
1688,03-Jun-17,10:14:06,0,1,0,2,C
1689,03-Jun-17,10:14:06,0,1,0,2,C
1690,03-Jun-17,10:14:06,0,1,0,2,C
1691,03-Jun-17,10:14:06,0,1,0,2,C
1692,03-Jun-17,10:14:07,0,1,0,2,C
1693,03-Jun-17,10:14:07,0,1,0,2,C
1694,03-Jun-17,10:14:07,0,1,0,2,C
1695,03-Jun-17,10:14:07,0,1,0,2,C
1696,03-Jun-17,10:14:07,0,1,0,2,C
1982,03-Jun-17,10:15:04,0,1,0,2,C
1983,03-Jun-17,10:15:05,0,1,0,2,C
1984,03-Jun-17,10:15:05,0,1,0,2,C
1985,03-Jun-17,10:15:05,0,1,0,2,C
1986,03-Jun-17,10:15:05,0,1,0,2,C
1987,03-Jun-17,10:15:06,0,1,0,2,C
1988,03-Jun-17,10:15:06,0,1,0,2,C
1989,03-Jun-17,10:15:06,0,1,0,2,C
1990,03-Jun-17,10:15:06,0,1,0,2,C
1991,03-Jun-17,10:15:06,0,1,0,2,C
1992,03-Jun-17,10:15:06,0,1,0,2,C
1993,03-Jun-17,10:15:07,0,1,0,2,C
1994,03-Jun-17,10:15:07,0,1,0,2,C
1995,03-Jun-17,10:15:07,0,1,0,2,C
1996,03-Jun-17,10:15:07,0,1,0,2,C
2282,03-Jun-17,10:16:04,0,1,0,2,C
2283,03-Jun-17,10:16:04,0,1,0,2,C
2284,03-Jun-17,10:16:05,0,1,0,2,C
2285,03-Jun-17,10:16:05,0,1,0,2,C
2286,03-Jun-17,10:16:05,0,1,0,2,C
2287,03-Jun-17,10:16:05,0,1,0,2,C
2288,03-Jun-17,10:16:05,0,1,0,2,C
2289,03-Jun-17,10:16:06,0,1,0,2,C
2290,03-Jun-17,10:16:06,0,1,0,2,C
2291,03-Jun-17,10:16:06,0,1,0,2,C
2292,03-Jun-17,10:16:06,0,1,0,2,C
2293,03-Jun-17,10:16:07,0,1,0,2,C
2294,03-Jun-17,10:16:07,0,1,0,2,C
2295,03-Jun-17,10:16:07,0,1,0,2,C
2296,03-Jun-17,10:16:07,0,1,0,2,C
2582,03-Jun-17,10:17:04,0,1,0,2,C
2583,03-Jun-17,10:17:05,0,1,0,2,C
2584,03-Jun-17,10:17:05,0,1,0,2,C
2585,03-Jun-17,10:17:05,0,1,0,2,C
2586,03-Jun-17,10:17:05,0,1,0,2,C
2587,03-Jun-17,10:17:06,0,1,0,2,C
2588,03-Jun-17,10:17:06,0,1,0,2,C
2589,03-Jun-17,10:17:06,0,1,0,2,C
2590,03-Jun-17,10:17:06,0,1,0,2,C
2591,03-Jun-17,10:17:06,0,1,0,2,C
2592,03-Jun-17,10:17:06,0,1,0,2,C
2593,03-Jun-17,10:17:07,0,1,0,2,C
2594,03-Jun-17,10:17:07,0,1,0,2,C
2595,03-Jun-17,10:17:07,0,1,0,2,C
2596,03-Jun-17,10:17:07,0,1,0,2,C
2882,03-Jun-17,10:18:05,0,1,0,2,C
2883,03-Jun-17,10:18:05,0,1,0,2,C
2884,03-Jun-17,10:18:05,0,1,0,2,C
2885,03-Jun-17,10:18:05,0,1,0,2,C
2886,03-Jun-17,10:18:05,0,1,0,2,C
2887,03-Jun-17,10:18:06,0,1,0,2,C
2888,03-Jun-17,10:18:06,0,1,0,2,C
2889,03-Jun-17,10:18:06,0,1,0,2,C
2890,03-Jun-17,10:18:06,0,1,0,2,C
2891,03-Jun-17,10:18:06,0,1,0,2,C
2892,03-Jun-17,10:18:06,0,1,0,2,C
2893,03-Jun-17,10:18:07,0,1,0,2,C
2894,03-Jun-17,10:18:07,0,1,0,2,C
2895,03-Jun-17,10:18:07,0,1,0,2,C
2896,03-Jun-17,10:18:07,0,1,0,2,C
3182,03-Jun-17,10:19:04,0,1,0,2,C
3183,03-Jun-17,10:19:05,0,1,0,2,C
3184,03-Jun-17,10:19:05,0,1,0,2,C
3185,03-Jun-17,10:19:05,0,1,0,2,C
3186,03-Jun-17,10:19:05,0,1,0,2,C
3187,03-Jun-17,10:19:05,0,1,0,2,C
3188,03-Jun-17,10:19:05,0,1,0,2,C
3189,03-Jun-17,10:19:06,0,1,0,2,C
3190,03-Jun-17,10:19:06,0,1,0,2,C
3191,03-Jun-17,10:19:06,0,1,0,2,C
3192,03-Jun-17,10:19:06,0,1,0,2,C
3193,03-Jun-17,10:19:07,0,1,0,2,C
3194,03-Jun-17,10:19:07,0,1,0,2,C
3195,03-Jun-17,10:19:07,0,1,0,2,C
3196,03-Jun-17,10:19:07,0,1,0,2,C
3482,03-Jun-17,10:20:04,0,1,0,2,C
3483,03-Jun-17,10:20:04,0,1,0,2,C
3484,03-Jun-17,10:20:05,0,1,0,2,C
3485,03-Jun-17,10:20:05,0,1,0,2,C
3486,03-Jun-17,10:20:05,0,1,0,2,C
3487,03-Jun-17,10:20:05,0,1,0,2,C
3488,03-Jun-17,10:20:06,0,1,0,2,C
3489,03-Jun-17,10:20:06,0,1,0,2,C
3490,03-Jun-17,10:20:06,0,1,0,2,C
3491,03-Jun-17,10:20:06,0,1,0,2,C
3492,03-Jun-17,10:20:06,0,1,0,2,C
3493,03-Jun-17,10:20:07,0,1,0,2,C
3494,03-Jun-17,10:20:07,0,1,0,2,C
3495,03-Jun-17,10:20:07,0,1,0,2,C
3496,03-Jun-17,10:20:07,0,1,0,2,C
3782,03-Jun-17,10:21:05,0,1,0,2,C
3783,03-Jun-17,10:21:05,0,1,0,2,C
3784,03-Jun-17,10:21:05,0,1,0,2,C
3785,03-Jun-17,10:21:05,0,1,0,2,C
3786,03-Jun-17,10:21:05,0,1,0,2,C
3787,03-Jun-17,10:21:06,0,1,0,2,C
3788,03-Jun-17,10:21:06,0,1,0,2,C
3789,03-Jun-17,10:21:06,0,1,0,2,C
3790,03-Jun-17,10:21:06,0,1,0,2,C
3791,03-Jun-17,10:21:06,0,1,0,2,C
3792,03-Jun-17,10:21:06,0,1,0,2,C
3793,03-Jun-17,10:21:07,0,1,0,2,C
3794,03-Jun-17,10:21:07,0,1,0,2,C
3795,03-Jun-17,10:21:07,0,1,0,2,C
3796,03-Jun-17,10:21:07,0,1,0,2,C
4082,03-Jun-17,10:22:04,0,1,0,2,C
4083,03-Jun-17,10:22:05,0,1,0,2,C
4084,03-Jun-17,10:22:05,0,1,0,2,C
4085,03-Jun-17,10:22:05,0,1,0,2,C
4086,03-Jun-17,10:22:05,0,1,0,2,C
4087,03-Jun-17,10:22:05,0,1,0,2,C
4088,03-Jun-17,10:22:06,0,1,0,2,C
4089,03-Jun-17,10:22:06,0,1,0,2,C
4090,03-Jun-17,10:22:06,0,1,0,2,C
4091,03-Jun-17,10:22:06,0,1,0,2,C
4092,03-Jun-17,10:22:07,0,1,0,2,C
4093,03-Jun-17,10:22:07,0,1,0,2,C
4094,03-Jun-17,10:22:07,0,1,0,2,C
4095,03-Jun-17,10:22:07,0,1,0,2,C
4096,03-Jun-17,10:22:07,0,1,0,2,C
4382,03-Jun-17,10:23:04,0,1,0,2,C
4383,03-Jun-17,10:23:05,0,1,0,2,C
4384,03-Jun-17,10:23:05,0,1,0,2,C
4385,03-Jun-17,10:23:05,0,1,0,2,C
4386,03-Jun-17,10:23:05,0,1,0,2,C
4387,03-Jun-17,10:23:06,0,1,0,2,C
4388,03-Jun-17,10:23:06,0,1,0,2,C
4389,03-Jun-17,10:23:06,0,1,0,2,C
4390,03-Jun-17,10:23:06,0,1,0,2,C
4391,03-Jun-17,10:23:06,0,1,0,2,C
4392,03-Jun-17,10:23:07,0,1,0,2,C
4393,03-Jun-17,10:23:07,0,1,0,2,C
4394,03-Jun-17,10:23:07,0,1,0,2,C
4395,03-Jun-17,10:23:07,0,1,0,2,C
4396,03-Jun-17,10:23:07,0,1,0,2,C
4682,03-Jun-17,10:24:05,0,1,0,2,C
4683,03-Jun-17,10:24:05,0,1,0,2,C
4684,03-Jun-17,10:24:05,0,1,0,2,C
4685,03-Jun-17,10:24:05,0,1,0,2,C
4686,03-Jun-17,10:24:06,0,1,0,2,C
4687,03-Jun-17,10:24:06,0,1,0,2,C
4688,03-Jun-17,10:24:06,0,1,0,2,C
4689,03-Jun-17,10:24:06,0,1,0,2,C
4690,03-Jun-17,10:24:06,0,1,0,2,C
4691,03-Jun-17,10:24:06,0,1,0,2,C
4692,03-Jun-17,10:24:06,0,1,0,2,C
4693,03-Jun-17,10:24:07,0,1,0,2,C
4694,03-Jun-17,10:24:07,0,1,0,2,C
4695,03-Jun-17,10:24:07,0,1,0,2,C
4696,03-Jun-17,10:24:07,0,1,0,2,C
4982,03-Jun-17,10:25:04,0,1,0,2,C
4983,03-Jun-17,10:25:05,0,1,0,2,C
4984,03-Jun-17,10:25:05,0,1,0,2,C
4985,03-Jun-17,10:25:05,0,1,0,2,C
4986,03-Jun-17,10:25:05,0,1,0,2,C
4987,03-Jun-17,10:25:06,0,1,0,2,C
4988,03-Jun-17,10:25:06,0,1,0,2,C
4989,03-Jun-17,10:25:06,0,1,0,2,C
4990,03-Jun-17,10:25:06,0,1,0,2,C
4991,03-Jun-17,10:25:06,0,1,0,2,C
4992,03-Jun-17,10:25:06,0,1,0,2,C
4993,03-Jun-17,10:25:06,0,1,0,2,C
4994,03-Jun-17,10:25:07,0,1,0,2,C
4995,03-Jun-17,10:25:07,0,1,0,2,C
4996,03-Jun-17,10:25:07,0,1,0,2,C
5282,03-Jun-17,10:26:04,0,1,0,2,C
5283,03-Jun-17,10:26:05,0,1,0,2,C
5284,03-Jun-17,10:26:05,0,1,0,2,C
5285,03-Jun-17,10:26:05,0,1,0,2,C
5286,03-Jun-17,10:26:05,0,1,0,2,C
5287,03-Jun-17,10:26:06,0,1,0,2,C
5288,03-Jun-17,10:26:06,0,1,0,2,C
5289,03-Jun-17,10:26:06,0,1,0,2,C
5290,03-Jun-17,10:26:06,0,1,0,2,C
5291,03-Jun-17,10:26:06,0,1,0,2,C
5292,03-Jun-17,10:26:06,0,1,0,2,C
5293,03-Jun-17,10:26:06,0,1,0,2,C
5294,03-Jun-17,10:26:07,0,1,0,2,C
5295,03-Jun-17,10:26:07,0,1,0,2,C
5296,03-Jun-17,10:26:07,0,1,0,2,C
5582,03-Jun-17,10:27:04,0,1,0,2,C
5583,03-Jun-17,10:27:04,0,1,0,2,C
5584,03-Jun-17,10:27:05,0,1,0,2,C
5585,03-Jun-17,10:27:05,0,1,0,2,C
5586,03-Jun-17,10:27:05,0,1,0,2,C
5587,03-Jun-17,10:27:05,0,1,0,2,C
5588,03-Jun-17,10:27:05,0,1,0,2,C
5589,03-Jun-17,10:27:06,0,1,0,2,C
5590,03-Jun-17,10:27:06,0,1,0,2,C
5591,03-Jun-17,10:27:06,0,1,0,2,C
5592,03-Jun-17,10:27:06,0,1,0,2,C
5593,03-Jun-17,10:27:07,0,1,0,2,C
5594,03-Jun-17,10:27:07,0,1,0,2,C
5595,03-Jun-17,10:27:07,0,1,0,2,C
5596,03-Jun-17,10:27:07,0,1,0,2,C
5882,03-Jun-17,10:28:04,0,1,0,2,C
5883,03-Jun-17,10:28:04,0,1,0,2,C
5884,03-Jun-17,10:28:05,0,1,0,2,C
5885,03-Jun-17,10:28:05,0,1,0,2,C
5886,03-Jun-17,10:28:05,0,1,0,2,C
5887,03-Jun-17,10:28:05,0,1,0,2,C
5888,03-Jun-17,10:28:05,0,1,0,2,C
5889,03-Jun-17,10:28:06,0,1,0,2,C
5890,03-Jun-17,10:28:06,0,1,0,2,C
5891,03-Jun-17,10:28:06,0,1,0,2,C
5892,03-Jun-17,10:28:06,0,1,0,2,C
5893,03-Jun-17,10:28:07,0,1,0,2,C
5894,03-Jun-17,10:28:07,0,1,0,2,C
5895,03-Jun-17,10:28:07,0,1,0,2,C
5896,03-Jun-17,10:28:07,0,1,0,2,C
6182,03-Jun-17,10:29:04,0,1,0,2,C
6183,03-Jun-17,10:29:04,0,1,0,2,C
6184,03-Jun-17,10:29:05,0,1,0,2,C
6185,03-Jun-17,10:29:05,0,1,0,2,C
6186,03-Jun-17,10:29:05,0,1,0,2,C
6187,03-Jun-17,10:29:05,0,1,0,2,C
6188,03-Jun-17,10:29:06,0,1,0,2,C
6189,03-Jun-17,10:29:06,0,1,0,2,C
6190,03-Jun-17,10:29:06,0,1,0,2,C
6191,03-Jun-17,10:29:06,0,1,0,2,C
6192,03-Jun-17,10:29:06,0,1,0,2,C
6193,03-Jun-17,10:29:07,0,1,0,2,C
6194,03-Jun-17,10:29:07,0,1,0,2,C
6195,03-Jun-17,10:29:07,0,1,0,2,C
6196,03-Jun-17,10:29:07,0,1,0,2,C
6482,03-Jun-17,10:30:04,0,1,0,2,C
6483,03-Jun-17,10:30:05,0,1,0,2,C
6484,03-Jun-17,10:30:05,0,1,0,2,C
6485,03-Jun-17,10:30:05,0,1,0,2,C
6486,03-Jun-17,10:30:05,0,1,0,2,C
6487,03-Jun-17,10:30:06,0,1,0,2,C
6488,03-Jun-17,10:30:06,0,1,0,2,C
6489,03-Jun-17,10:30:06,0,1,0,2,C
6490,03-Jun-17,10:30:06,0,1,0,2,C
6491,03-Jun-17,10:30:06,0,1,0,2,C
6492,03-Jun-17,10:30:06,0,1,0,2,C
6493,03-Jun-17,10:30:06,0,1,0,2,C
6494,03-Jun-17,10:30:07,0,1,0,2,C
6495,03-Jun-17,10:30:07,0,1,0,2,C
6496,03-Jun-17,10:30:07,0,1,0,2,C
6782,03-Jun-17,10:31:05,0,1,0,2,C
6783,03-Jun-17,10:31:05,0,1,0,2,C
6784,03-Jun-17,10:31:05,0,1,0,2,C
6785,03-Jun-17,10:31:05,0,1,0,2,C
6786,03-Jun-17,10:31:05,0,1,0,2,C
6787,03-Jun-17,10:31:05,0,1,0,2,C
6788,03-Jun-17,10:31:05,0,1,0,2,C
6789,03-Jun-17,10:31:06,0,1,0,2,C
6790,03-Jun-17,10:31:06,0,1,0,2,C
6791,03-Jun-17,10:31:06,0,1,0,2,C
6792,03-Jun-17,10:31:06,0,1,0,2,C
6793,03-Jun-17,10:31:07,0,1,0,2,C
6794,03-Jun-17,10:31:07,0,1,0,2,C
6795,03-Jun-17,10:31:07,0,1,0,2,C
6796,03-Jun-17,10:31:07,0,1,0,2,C
7082,03-Jun-17,10:32:05,0,1,0,2,C
7083,03-Jun-17,10:32:05,0,1,0,2,C
7084,03-Jun-17,10:32:05,0,1,0,2,C
7085,03-Jun-17,10:32:05,0,1,0,2,C
7086,03-Jun-17,10:32:06,0,1,0,2,C
7087,03-Jun-17,10:32:06,0,1,0,2,C
7088,03-Jun-17,10:32:06,0,1,0,2,C
7089,03-Jun-17,10:32:06,0,1,0,2,C
7090,03-Jun-17,10:32:06,0,1,0,2,C
7091,03-Jun-17,10:32:06,0,1,0,2,C
7092,03-Jun-17,10:32:06,0,1,0,2,C
7093,03-Jun-17,10:32:06,0,1,0,2,C
7094,03-Jun-17,10:32:07,0,1,0,2,C
7095,03-Jun-17,10:32:07,0,1,0,2,C
7096,03-Jun-17,10:32:07,0,1,0,2,C
7382,03-Jun-17,10:33:04,0,1,0,2,C
7383,03-Jun-17,10:33:04,0,1,0,2,C
7384,03-Jun-17,10:33:05,0,1,0,2,C
7385,03-Jun-17,10:33:05,0,1,0,2,C
7386,03-Jun-17,10:33:05,0,1,0,2,C
7387,03-Jun-17,10:33:05,0,1,0,2,C
7388,03-Jun-17,10:33:06,0,1,0,2,C
7389,03-Jun-17,10:33:06,0,1,0,2,C
7390,03-Jun-17,10:33:06,0,1,0,2,C
7391,03-Jun-17,10:33:06,0,1,0,2,C
7392,03-Jun-17,10:33:06,0,1,0,2,C
7393,03-Jun-17,10:33:07,0,1,0,2,C
7394,03-Jun-17,10:33:07,0,1,0,2,C
7395,03-Jun-17,10:33:07,0,1,0,2,C
7396,03-Jun-17,10:33:07,0,1,0,2,C
7682,03-Jun-17,10:34:04,0,1,0,2,C
7683,03-Jun-17,10:34:05,0,1,0,2,C
7684,03-Jun-17,10:34:05,0,1,0,2,C
7685,03-Jun-17,10:34:05,0,1,0,2,C
7686,03-Jun-17,10:34:05,0,1,0,2,C
7687,03-Jun-17,10:34:05,0,1,0,2,C
7688,03-Jun-17,10:34:06,0,1,0,2,C
7689,03-Jun-17,10:34:06,0,1,0,2,C
7690,03-Jun-17,10:34:06,0,1,0,2,C
7691,03-Jun-17,10:34:06,0,1,0,2,C
7692,03-Jun-17,10:34:07,0,1,0,2,C
7693,03-Jun-17,10:34:07,0,1,0,2,C
7694,03-Jun-17,10:34:07,0,1,0,2,C
7695,03-Jun-17,10:34:07,0,1,0,2,C
7696,03-Jun-17,10:34:07,0,1,0,2,C
7982,03-Jun-17,10:35:05,0,1,0,2,C
7983,03-Jun-17,10:35:05,0,1,0,2,C
7984,03-Jun-17,10:35:05,0,1,0,2,C
7985,03-Jun-17,10:35:05,0,1,0,2,C
7986,03-Jun-17,10:35:05,0,1,0,2,C
7987,03-Jun-17,10:35:06,0,1,0,2,C
7988,03-Jun-17,10:35:06,0,1,0,2,C
7989,03-Jun-17,10:35:06,0,1,0,2,C
7990,03-Jun-17,10:35:06,0,1,0,2,C
7991,03-Jun-17,10:35:06,0,1,0,2,C
7992,03-Jun-17,10:35:06,0,1,0,2,C
7993,03-Jun-17,10:35:06,0,1,0,2,C
7994,03-Jun-17,10:35:07,0,1,0,2,C
7995,03-Jun-17,10:35:07,0,1,0,2,C
7996,03-Jun-17,10:35:07,0,1,0,2,C
8282,03-Jun-17,10:36:05,0,1,0,2,C
8283,03-Jun-17,10:36:05,0,1,0,2,C
8284,03-Jun-17,10:36:05,0,1,0,2,C
8285,03-Jun-17,10:36:05,0,1,0,2,C
8286,03-Jun-17,10:36:05,0,1,0,2,C
8287,03-Jun-17,10:36:05,0,1,0,2,C
8288,03-Jun-17,10:36:05,0,1,0,2,C
8289,03-Jun-17,10:36:06,0,1,0,2,C
8290,03-Jun-17,10:36:06,0,1,0,2,C
8291,03-Jun-17,10:36:06,0,1,0,2,C
8292,03-Jun-17,10:36:06,0,1,0,2,C
8293,03-Jun-17,10:36:07,0,1,0,2,C
8294,03-Jun-17,10:36:07,0,1,0,2,C
8295,03-Jun-17,10:36:07,0,1,0,2,C
8296,03-Jun-17,10:36:07,0,1,0,2,C
8582,03-Jun-17,10:37:04,0,1,0,2,C
8583,03-Jun-17,10:37:05,0,1,0,2,C
8584,03-Jun-17,10:37:05,0,1,0,2,C
8585,03-Jun-17,10:37:05,0,1,0,2,C
8586,03-Jun-17,10:37:05,0,1,0,2,C
8587,03-Jun-17,10:37:05,0,1,0,2,C
8588,03-Jun-17,10:37:06,0,1,0,2,C
8589,03-Jun-17,10:37:06,0,1,0,2,C
8590,03-Jun-17,10:37:06,0,1,0,2,C
8591,03-Jun-17,10:37:06,0,1,0,2,C
8592,03-Jun-17,10:37:07,0,1,0,2,C
8593,03-Jun-17,10:37:07,0,1,0,2,C
8594,03-Jun-17,10:37:07,0,1,0,2,C
8595,03-Jun-17,10:37:07,0,1,0,2,C
8596,03-Jun-17,10:37:07,0,1,0,2,C
8882,03-Jun-17,10:38:04,0,1,0,2,C
8883,03-Jun-17,10:38:05,0,1,0,2,C
8884,03-Jun-17,10:38:05,0,1,0,2,C
8885,03-Jun-17,10:38:05,0,1,0,2,C
8886,03-Jun-17,10:38:05,0,1,0,2,C
8887,03-Jun-17,10:38:05,0,1,0,2,C
8888,03-Jun-17,10:38:06,0,1,0,2,C
8889,03-Jun-17,10:38:06,0,1,0,2,C
8890,03-Jun-17,10:38:06,0,1,0,2,C
8891,03-Jun-17,10:38:06,0,1,0,2,C
8892,03-Jun-17,10:38:07,0,1,0,2,C
8893,03-Jun-17,10:38:07,0,1,0,2,C
8894,03-Jun-17,10:38:07,0,1,0,2,C
8895,03-Jun-17,10:38:07,0,1,0,2,C
8896,03-Jun-17,10:38:07,0,1,0,2,C
9182,03-Jun-17,10:39:05,0,1,0,2,C
9183,03-Jun-17,10:39:05,0,1,0,2,C
9184,03-Jun-17,10:39:05,0,1,0,2,C
9185,03-Jun-17,10:39:05,0,1,0,2,C
9186,03-Jun-17,10:39:05,0,1,0,2,C
9187,03-Jun-17,10:39:05,0,1,0,2,C
9188,03-Jun-17,10:39:05,0,1,0,2,C
9189,03-Jun-17,10:39:06,0,1,0,2,C
9190,03-Jun-17,10:39:06,0,1,0,2,C
9191,03-Jun-17,10:39:06,0,1,0,2,C
9192,03-Jun-17,10:39:06,0,1,0,2,C
9193,03-Jun-17,10:39:07,0,1,0,2,C
9194,03-Jun-17,10:39:07,0,1,0,2,C
9195,03-Jun-17,10:39:07,0,1,0,2,C
9196,03-Jun-17,10:39:07,0,1,0,2,C
